이름,비고,저자,파일과 미디어,출판사,문해력 수준,분야,상태,시작,완료,연,월,읽은 기간,읽은 일수,평점,한 줄 평,회독수,읽은 사람,이번 년도에 읽을 책,등록여부,출판일
나랑 도서관 탐험할래?,,나탈리 다르장,%EB%8F%85%EC%84%9C%20%EB%85%B8%ED%8A%B8/%E1%84%82%E1%85%A1%E1%84%85%E1%85%A1%E1%86%BC_%E1%84%83%E1%85%A9%E1%84%89%E1%85%A5%E1%84%80%E1%85%AA%E1%86%AB_%E1%84%90%E1%85%A1%E1%86%B7%E1%84%92%E1%85%A5%E1%86%B7%E1%84%92%E1%85%A1%E1%86%AF%E1%84%85%E1%85%A2.jpg,,초2,그림책,읽음,2026년 2월 11일,2026년 2월 11일,2026년,2월,1,,,,1,이하은,Yes,No,
비밀의 문,글 없는 그림책,에런 베커,%EB%8F%85%EC%84%9C%20%EB%85%B8%ED%8A%B8/%E1%84%87%E1%85%B5%E1%84%86%E1%85%B5%E1%86%AF%E1%84%8B%E1%85%B4_%E1%84%86%E1%85%AE%E1%86%AB.jpg,,"초3, 초4, 초5, 초6",그림책,읽기 전,2026년 2월 14일,,2026년,2월,,,,,,,Yes,No,
130층 나무 집,나무집 시리즈,앤디 그리피스,%EB%8F%85%EC%84%9C%20%EB%85%B8%ED%8A%B8/130%E1%84%8E%E1%85%B3%E1%86%BC_%E1%84%82%E1%85%A1%E1%84%86%E1%85%AE_%E1%84%8C%E1%85%B5%E1%86%B8.jpg,시공주니어,초2,그림책,읽기 전,,,,,,,,,,,No,No,
52층 나무 집,나무집 시리즈,앤디 그리피스,%EB%8F%85%EC%84%9C%20%EB%85%B8%ED%8A%B8/52%E1%84%8E%E1%85%B3%E1%86%BC_%E1%84%82%E1%85%A1%E1%84%86%E1%85%AE_%E1%84%8C%E1%85%B5%E1%86%B8.jpg,시공주니어,초2,그림책,읽기 전,,,,,,,,,,,No,No,
65층 나무 집,나무집 시리즈,앤디 그리피스,%EB%8F%85%EC%84%9C%20%EB%85%B8%ED%8A%B8/65%E1%84%8E%E1%85%B3%E1%86%BC_%E1%84%82%E1%85%A1%E1%84%86%E1%85%AE_%E1%84%8C%E1%85%B5%E1%86%B8.jpg,시공주니어,초2,그림책,읽기 전,,,,,,,,,,,No,No,
169층 나무 집,나무집 시리즈,앤디 그리피스,%EB%8F%85%EC%84%9C%20%EB%85%B8%ED%8A%B8/169%E1%84%8E%E1%85%B3%E1%86%BC_%E1%84%82%E1%85%A1%E1%84%86%E1%85%AE_%E1%84%8C%E1%85%B5%E1%86%B8.jpg,시공주니어,초2,그림책,읽기 전,,,,,,,,,,,No,No,
104층 나무 집,나무집 시리즈,앤디 그리피스,%EB%8F%85%EC%84%9C%20%EB%85%B8%ED%8A%B8/104%E1%84%8E%E1%85%B3%E1%86%BC_%E1%84%82%E1%85%A1%E1%84%86%E1%85%AE_%E1%84%8C%E1%85%B5%E1%86%B8.jpg,시공주니어,초2,그림책,읽기 전,,,,,,,,,,,No,No,
13층 나무집,나무집 시리즈,앤디 그리피스,%EB%8F%85%EC%84%9C%20%EB%85%B8%ED%8A%B8/13%E1%84%8E%E1%85%B3%E1%86%BC_%E1%84%82%E1%85%A1%E1%84%86%E1%85%AE%E1%84%8C%E1%85%B5%E1%86%B8.jpg,시공주니어,초2,그림책,읽기 전,,,,,,,,,,,No,No,
117층 나무 집,나무집 시리즈,앤디 그리피스,%EB%8F%85%EC%84%9C%20%EB%85%B8%ED%8A%B8/117%E1%84%8E%E1%85%B3%E1%86%BC_%E1%84%82%E1%85%A1%E1%84%86%E1%85%AE_%E1%84%8C%E1%85%B5%E1%86%B8_.jpg,시공주니어,초2,그림책,읽기 전,,,,,,,,,,,No,No,
39층 나무 집,나무집 시리즈,앤디 그리피스,%EB%8F%85%EC%84%9C%20%EB%85%B8%ED%8A%B8/39%E1%84%8E%E1%85%B3%E1%86%BC_%E1%84%82%E1%85%A1%E1%84%86%E1%85%AE_%E1%84%8C%E1%85%B5%E1%86%B8.jpg,시공주니어,초2,그림책,읽기 전,,,,,,,,,,,No,No,
78층 나무 집,나무집 시리즈,앤디 그리피스,%EB%8F%85%EC%84%9C%20%EB%85%B8%ED%8A%B8/78%E1%84%8E%E1%85%B3%E1%86%BC_%E1%84%82%E1%85%A1%E1%84%86%E1%85%AE_%E1%84%8C%E1%85%B5%E1%86%B8.jpg,시공주니어,초2,그림책,읽기 전,,,,,,,,,,,No,No,
156층 나무 집,나무집 시리즈,앤디 그리피스,%EB%8F%85%EC%84%9C%20%EB%85%B8%ED%8A%B8/156%E1%84%8E%E1%85%B3%E1%86%BC_%E1%84%82%E1%85%A1%E1%84%86%E1%85%AE_%E1%84%8C%E1%85%B5%E1%86%B8.jpg,시공주니어,초2,그림책,읽기 전,,,,,,,,,,,No,No,
"143층 나무 집 ",나무집 시리즈,앤디 그리피스,%EB%8F%85%EC%84%9C%20%EB%85%B8%ED%8A%B8/143%E1%84%8E%E1%85%B3%E1%86%BC_%E1%84%82%E1%85%A1%E1%84%86%E1%85%AE_%E1%84%8C%E1%85%B5%E1%86%B8.jpg,시공주니어,초2,그림책,읽기 전,,,,,,,,,,,No,No,
